Name TIC_ID Sector Author Exptime Magnitude SlopeB Slope2B BreakpointB
0_RS_Oph 6348255 80 SPOC 20 9.46450043 -0.967808562389024 -1.4706713978122408 1.6989700043360187
0_RS_Oph 6348255 80 SPOC 120 9.46450043 -1.488508978947905 -1.5365084228039796 1.6989700043360187
0_SULyn 11670502 20 SPOC 120 5.00400019 -1.4292934076823756 -0.21065878583881018 2.0
0_SULyn 11670502 60 SPOC 120 5.00400019 -1.5609641459278623 -0.8734571532258809 2.0
0_SULyn 11670502 73 SPOC 120 5.00400019 -1.6381751211843723 -0.6255897491544516 1.9815695921022052
0_SULyn 11670502 20 TESS-SPOC 1800 5.00400019 -1.7542591425358454 -0.1656125638386835 1.8525567368176419
0_SULyn 11670502 60 TESS-SPOC 200 5.00400019 -2.212323697193055 -1.9891225915343755 2.0
0_V1044_Cen 30541762 37 SPOC 120 8.69349957 0.20751709509061045 -1.6761250841278492 1.7112569429345486
0_V1044_Cen 30541762 37 TESS-SPOC 600 8.69349957 -0.7125320289290527 -1.6131597280809855 1.6989700043360187
0_V1044_Cen 30541762 64 TESS-SPOC 200 8.69349957 -0.048945462983782904 -1.6217029715700644 1.6989700043360187
0_BX_Mon 64333488 07 SPOC 120 8.61250019 -1.404403025839209 -0.7361250089732811 1.6989700043360187
0_BX_Mon 64333488 07 TESS-SPOC 1800 8.61250019 -3.2504338898408114 0.03880357246948998 1.6989700043360187
0_EG_And 115780639 17 SPOC 120 5.2986002 -0.3509863992032888 -1.9242912327008725 1.8156959210220522
0_EG_And 115780639 57 SPOC 120 5.2986002 -2.784742555259949 -0.4927593550406773 1.8095524517227874
0_EG_And 115780639 84 SPOC 120 5.2986002 -2.1163105446792927 -0.7731249635086321 2.0
0_EG_And 115780639 17 TESS-SPOC 1800 5.2986002 -1.9286522923531104 -0.9748898256528449 2.0
0_EG_And 115780639 57 TESS-SPOC 200 5.2986002 -3.289109900728187 -1.7159428140421913 1.7051134736352838
0_ASAS_J152058-4519.7 146068950 65 TESS-SPOC 200 9.16180038 -2.4539949592520527 -0.5379720169015874 2.0
0_RTCru 180045004 64 TESS-SPOC 200 8.87969971 -2.4794814769046134 -1.2838093838475888 1.7481177587301382
0_RTCru 180045004 65 TESS-SPOC 200 8.87969971 -2.0187631046718035 -1.2608132453804815 1.8279828596205823
0_omi_Cet_Mira 332890609 04 SPOC 120 2.25900006 -2.3395900738312294 -1.7507462438744554 1.9385653070073507
0_omi_Cet_Mira 332890609 31 SPOC 120 2.25900006 -0.6693484901572354 -0.9323273106582846 1.8279828596205823
0_omi_Cet_Mira 332890609 04 TESS-SPOC 1800 2.25900006 -2.6075804586083913 -0.5525300698965019 1.6989700043360187
0_omi_Cet_Mira 332890609 31 TESS-SPOC 600 2.25900006 -1.3267905771812076 -0.981024713744096 1.920134899109556
0_CHCyg 350739215 14 SPOC 120 3.7260499 -1.8259602830028565 -1.3384042015951076 2.0
0_CHCyg 350739215 15 SPOC 120 3.7260499 -1.986445077837813 -0.8403428588872012 1.6989700043360187
0_CHCyg 350739215 40 SPOC 120 3.7260499 -1.2712652101380422 -1.6511478488223763 2.0
0_CHCyg 350739215 54 SPOC 120 3.7260499 -1.096606605679296 -1.450814561701446 1.8709871447154367
0_CHCyg 350739215 56 SPOC 120 3.7260499 -1.9797390948267442 -1.62989484934668 1.760404697328668
0_CHCyg 350739215 55 SPOC 120 3.7260499 -1.5629277858773805 -1.262409015231481 1.8156959210220522
0_CHCyg 350739215 74 SPOC 20 3.7260499 -1.9684919683159585 -0.4106406608353001 2.0
0_CHCyg 350739215 82 SPOC 20 3.7260499 -0.9451360872859266 -0.7601917821435351 1.920134899109556
0_CHCyg 350739215 81 SPOC 20 3.7260499 -2.551534971750663 -0.8462688539171523 1.7481177587301382
0_CHCyg 350739215 80 SPOC 20 3.7260499 -1.9786861650423497 -1.4819318327265267 1.9877130614014702
0_CHCyg 350739215 75 SPOC 20 3.7260499 -2.4106896354938216 -0.7017831495106271 1.8525567368176419
0_CHCyg 350739215 82 SPOC 120 3.7260499 -0.6780747467104093 -0.568079247150987 1.6989700043360187
0_CHCyg 350739215 74 SPOC 120 3.7260499 -2.358150362426994 -0.7458249545751278 1.8648436754161717
0_CHCyg 350739215 75 SPOC 120 3.7260499 -0.9021851798155437 -1.0130608295923984 1.9017044912117613
0_CHCyg 350739215 80 SPOC 120 3.7260499 -1.1211330171941918 -1.0776243231481455 1.7788351052264628
0_CHCyg 350739215 81 SPOC 120 3.7260499 -0.9440877559251872 -1.495921493524993 1.840269798219112
0_CHCyg 350739215 15 TESS-SPOC 1800 3.7260499 -1.9853138347065173 -0.509592572284519 2.0
0_CHCyg 350739215 14 TESS-SPOC 1800 3.7260499 -1.484766384251926 -0.4356484098832722 2.0
0_CHCyg 350739215 40 TESS-SPOC 600 3.7260499 -1.2572435575874943 -1.3510280767785383 1.8955610219124963
0_CHCyg 350739215 56 TESS-SPOC 200 3.7260499 -2.0153677111651693 -1.6144953605143872 1.766548166627933
0_CHCyg 350739215 54 TESS-SPOC 600 3.7260499 -1.2881970736503812 -1.3786883625876818 1.993856530700735
0_CHCyg 350739215 55 TESS-SPOC 600 3.7260499 -1.407728728323881 -1.2908032741644304 2.0
0_V407_Cyg 357457104 16 SPOC 120 9.52099991 -1.3408408765582167 -1.4129275537688308 1.754261228029403
0_V407_Cyg 357457104 15 SPOC 120 9.52099991 -1.255953908222439 -0.012626883978195025 2.0
0_V407_Cyg 357457104 55 SPOC 20 9.52099991 -1.8343802988154718 -0.5016515700571361 1.993856530700735
0_V407_Cyg 357457104 56 SPOC 120 9.52099991 -1.1143996438632806 -0.09332022763071629 1.926278368408821
0_V407_Cyg 357457104 55 SPOC 120 9.52099991 -1.761619836049193 -0.10187052628975352 2.0
0_V407_Cyg 357457104 83 SPOC 120 9.52099991 -1.9420649196133308 -0.8925890692650034 1.7788351052264628
0_V407_Cyg 357457104 76 SPOC 120 9.52099991 -0.9810871931065904 -1.4642597161840318 1.6989700043360187
0_V407_Cyg 357457104 75 SPOC 120 9.52099991 -1.7309558615847964 -0.24915601764424938 2.0
0_V407_Cyg 357457104 82 SPOC 120 9.52099991 -1.3861417122554194 -1.9845007515497524 1.7419742894308732
0_V407_Cyg 357457104 16 TESS-SPOC 1800 9.52099991 -1.5352445463001756 -0.24429389345320898 1.9385653070073507
0_V407_Cyg 357457104 15 TESS-SPOC 1800 9.52099991 -0.9380663101853414 -0.20678057340251307 1.8955610219124963
0_V407_Cyg 357457104 56 TESS-SPOC 200 9.52099991 -1.6790225024820165 -0.28410243632447557 2.0
