Name TIC_ID Sector Author Exptime Magnitude SlopeB Slope2B BreakpointB
89_Her 285139576 26 SPOC 120 5.07849979 -1.7688025771099998 -0.6675516688794405 2.0
89_Her 285139576 40 SPOC 120 5.07849979 -1.8733279183834222 -1.231306390556145 2.0
89_Her 285139576 53 SPOC 120 5.07849979 -2.351294437183504 -1.2796216636032365 1.6989700043360187
89_Her 285139576 52 SPOC 120 5.07849979 -1.8444862562056406 -1.6690126625334993 1.8218393903213173
89_Her 285139576 80 SPOC 120 5.07849979 -1.7447978062296532 -1.9279337162094516 2.0
89_Her 285139576 79 SPOC 120 5.07849979 -2.4047604133451643 -1.0952770146942816 2.0
89_Her 285139576 26 TESS-SPOC 1800 5.07849979 -3.4596218524576687 -0.07062893898235233 1.6989700043360187
89_Her 285139576 40 TESS-SPOC 600 5.07849979 -2.029128913747659 -0.34668311464988283 2.0
89_Her 285139576 52 TESS-SPOC 600 5.07849979 -2.0372551075401124 -1.1264485542654021 2.0
89_Her 285139576 53 TESS-SPOC 600 5.07849979 -2.1156627051324604 -0.8209889687991138 2.0
BD+46_442 327790652 58 TESS-SPOC 200 8.89369965 -2.8514899775312452 -0.9553738145077114 1.834126328919847
DY_Ori 151405646 71 TESS-SPOC 200 9.84840012 -1.0088953467466044 -1.8560207821802848 1.766548166627933
DY_Ori 151405646 72 TESS-SPOC 200 9.84840012 -2.2001091659986414 -1.9046673536885816 1.8218393903213173
HD_46703 149984609 60 TESS-SPOC 200 8.43229961 -2.8320753966364713 -1.7265416871571952 1.7481177587301382
HD_52961 425148238 71 TESS-SPOC 200 6.83120012 -3.616389058359974 -1.6215736147936524 1.7296873508323434
HD_52961 425148238 72 TESS-SPOC 200 6.83120012 -1.8341908099861042 -1.4511610716154197 2.0
HD_95767 466257017 63 TESS-SPOC 200 8.03409958 -2.0682062819486142 -0.49599877025242295 2.0
HD_95767 466257017 64 TESS-SPOC 200 8.03409958 -2.0179131682418854 -0.1526689494480529 1.9692826535036754
HD_108015 72069886 64 TESS-SPOC 200 7.51669979 -2.966777000161165 -0.6757045474789736 1.7972655131242576
HD_131356 259921603 65 TESS-SPOC 200 8.00160027 -3.984458572995936 -1.002705647795071 1.7296873508323434
HD_213985 188569689 69 TESS-SPOC 200 8.72539997 -1.2656530991816395 -1.501420060452127 2.0
HR_4049 168346285 09 SPOC 120 5.14949989 -1.987808923554715 -1.6675412680747603 1.7726916359271978
HR_4049 168346285 36 SPOC 120 5.14949989 -1.0949464416625303 -1.160375158200129 1.6989700043360187
HR_4049 168346285 63 SPOC 120 5.14949989 -2.265358892812331 -0.20237875491203614 2.0
HR_4049 168346285 62 SPOC 120 5.14949989 -1.6209954795276835 -1.2706677951031076 2.0
HR_4049 168346285 89 SPOC 20 5.14949989 -2.177392021971392 -0.5820716803515638 2.0
HR_4049 168346285 89 SPOC 120 5.14949989 -2.0119660510549235 -0.6640027671490413 2.0
HR_4049 168346285 09 TESS-SPOC 1800 5.14949989 -1.9782715363687324 -0.9437413010567184 1.9569957149051456
HR_4049 168346285 36 TESS-SPOC 600 5.14949989 -1.5595364245790784 -0.17934100805157702 1.8464132675183769
HR_4049 168346285 63 TESS-SPOC 200 5.14949989 -2.8422947724547396 -0.3114435627316343 1.8894175526132313
HR_4049 168346285 62 TESS-SPOC 200 5.14949989 -2.910674224414408 -0.5354819932534662 1.7972655131242576
IRAS_06165+3158 138176686 60 TESS-SPOC 200 10.09360027 -2.43572570442648 -0.786580287833031 1.8279828596205823
IRAS_06165+3158 138176686 71 TESS-SPOC 200 10.09360027 -2.482587151259609 -1.0441171113306829 1.8218393903213173
IRAS_06165+3158 138176686 72 TESS-SPOC 200 10.09360027 -2.056386312418642 -1.9121694468646786 2.0
IRAS_08544–4431 30378919 62 TESS-SPOC 200 7.23099995 -2.0863865309320624 -1.3012431867487562 2.0
IRAS_15469–5311 278147658 65 TESS-SPOC 200 8.8781004 -1.9749305616261592 -0.6963253914398115 2.0
IRAS_17038–4815 212985562 66 TESS-SPOC 200 9.3288002 -2.8727532628080743 -0.803519220143497 1.8156959210220522
IRAS_19157–0247 161604472 54 SPOC 120 9.79249954 -3.0340932874733806 -0.6577814696380824 2.0
IRAS_19157–0247 161604472 54 TESS-SPOC 600 9.79249954 -1.8990964955462433 -0.3323533714292767 1.9324218377080857
RU_Cen 258316366 64 TESS-SPOC 200 8.2578001 -3.2084020394883277 -0.6631236992877405 1.7972655131242576
SAO_173329 100017389 61 TESS-SPOC 200 10.07019997 -2.2807423449165207 -0.42553487521511907 2.0
ST_Pup 148400669 61 TESS-SPOC 200 9.49050045 -1.8756876894729424 -1.8572173550654145 1.6989700043360187
SX_Cen 15520060 64 TESS-SPOC 200 10.12290001 -2.8681648492225125 -0.5048216968953708 1.8464132675183769
TW_Cam 305967956 59 TESS-SPOC 200 8.22049999 -2.1373509972143347 -1.8967278684672821 1.840269798219112
U_Mon 6423203 07 SPOC 120 5.62400007 -2.2901003631601493 -1.9377852901104942 2.0
U_Mon 6423203 34 SPOC 120 5.62400007 -2.5957065437908566 -0.9826836219687619 2.0
U_Mon 6423203 88 SPOC 20 5.62400007 -3.6053208308228033 -1.1553187387416408 1.7788351052264628
U_Mon 6423203 88 SPOC 120 5.62400007 -3.9072219984330547 -0.19418923250386522 1.7481177587301382
U_Mon 6423203 07 TESS-SPOC 1800 5.62400007 -1.871981849936755 -0.7664697580815243 2.0
U_Mon 6423203 34 TESS-SPOC 600 5.62400007 -2.2212767279049723 -0.9382462476316265 1.9754261228029404
