Name TIC_ID Sector Author Exptime Magnitude SlopeB Slope2B BreakpointB
V*_CI_Hyi 234300677 01 SPOC 120 5.26399994 -1.4852500009955907 -1.5052842446388366 1.9447087763066158
V*_CI_Hyi 234300677 02 SPOC 120 5.26399994 0.2529797672799827 -1.6668048053271374 1.6989700043360187
V*_CI_Hyi 234300677 27 SPOC 120 5.26399994 -1.6262104489003433 -1.4306111994575454 1.8156959210220522
V*_CI_Hyi 234300677 29 SPOC 120 5.26399994 -2.0498484322447927 -1.288976311761179 2.0
V*_CI_Hyi 234300677 67 SPOC 120 5.26399994 -2.0481943979487416 -1.1068599811363402 2.0
V*_CI_Hyi 234300677 69 SPOC 120 5.26399994 -2.2211046647504844 -0.5775505976164615 2.0
V*_CI_Hyi 234300677 01 TESS-SPOC 1800 5.26399994 -1.8981823389264636 -0.858843872034015 1.8955610219124963
V*_CI_Hyi 234300677 02 TESS-SPOC 1800 5.26399994 -2.0840503746500696 -1.3204073621650492 1.6989700043360187
V*_CI_Hyi 234300677 27 TESS-SPOC 600 5.26399994 -1.9937554999294138 -1.1389461115708455 2.0
V*_CI_Hyi 234300677 29 TESS-SPOC 600 5.26399994 -2.034681691909515 -1.266655661987073 2.0
V*_CI_Hyi 234300677 69 TESS-SPOC 200 5.26399994 -2.045224712513228 -1.900751935636207 2.0
V*_CI_Hyi 234300677 67 TESS-SPOC 200 5.26399994 -1.5688968049644592 -1.793693928032917 2.0
V*_EY_Hya 393806122 34 SPOC 120 4.68690014 0.3389986458395779 -1.9363210468322047 1.6989700043360187
V*_EY_Hya 393806122 61 SPOC 120 4.68690014 -0.9656773523293009 -1.1424169774173771 1.6989700043360187
V*_EY_Hya 393806122 88 SPOC 20 4.68690014 -3.406759771700374 -1.7668962695612174 1.7726916359271978
V*_EY_Hya 393806122 88 SPOC 120 4.68690014 -1.1765776942282562 -1.6560014447610991 1.6989700043360187
V*_EY_Hya 393806122 34 TESS-SPOC 600 4.68690014 -2.001597205628423 -0.1718861204519446 1.9569957149051456
V*_EY_Hya 393806122 61 TESS-SPOC 200 4.68690014 -2.7051178365293618 -0.9481472214671763 1.7972655131242576
V*_Y_Gem 70580781 44 SPOC 120 5.04510021 -1.5252751998000995 -0.4562391696491584 2.0
V*_Y_Gem 70580781 45 SPOC 120 5.04510021 -0.6897970244645494 -2.031796902017714 1.7235438815330784
V*_Y_Gem 70580781 46 SPOC 120 5.04510021 -0.8281566866094238 -2.008477744230481 1.8525567368176419
V*_Y_Gem 70580781 71 SPOC 120 5.04510021 -2.171017278325538 -1.666020174279694 1.840269798219112
V*_Y_Gem 70580781 44 TESS-SPOC 600 5.04510021 -1.9607996229034774 -1.0677047947584937 2.0
V*_Y_Gem 70580781 45 TESS-SPOC 600 5.04510021 -2.020320328474399 -1.4271405870736764 2.0
V*_Y_Gem 70580781 46 TESS-SPOC 600 5.04510021 -2.0044736601533937 -1.366042124847813 2.0
