Name TIC_ID Sector Author Exptime Magnitude Slope Slope2 Breakpoint
2 328668612 59 TESS-SPOC 200 6.54879999 -1.7360448698698798 -0.3556837315434002 2.8490035667760796
2 328668612 60 TESS-SPOC 200 6.54879999 -1.8524122584074771 -0.30962756943545877 2.8323153694244594
3 336728909 57 TESS-SPOC 200 10.1906004 -1.5773391901837992 -0.0729709426902418 2.0409480683395658
4 13939217 57 TESS-SPOC 200 7.41699982 -1.6531339971138441 -0.053414188507541836 2.040906748944289
5 386610785 09 SPOC 120 2.81458998 -1.9523218250078387 -0.25046423720094513 2.9870101556168285
5 386610785 35 SPOC 120 2.81458998 -1.7801478993189024 -0.4446638267233361 3.174525220803235
5 386610785 62 SPOC 120 2.81458998 -1.337978787207755 -0.007838572134046125 2.559211698048428
5 386610785 89 SPOC 120 2.81458998 -1.4913622718153492 0.1785788073425421 2.614275197030022
5 386610785 09 TESS-SPOC 1800 2.81458998 -1.8939816713103317 -0.44921133765962007 2.252716965021162
5 386610785 35 TESS-SPOC 600 2.81458998 -1.343439850056232 -0.13637401775679028 2.4725752687808513
5 386610785 62 TESS-SPOC 200 2.81458998 -1.7288877176529536 0.019532804526614045 2.500731839449785
6 230092799 60 TESS-SPOC 200 7.13600016 -1.744995885608031 -0.008369371319558845 2.4181056369922906
6 230092799 58 TESS-SPOC 200 7.13600016 -1.65942787884032 -0.16466241591235117 2.7873862957854887
6 230092799 57 TESS-SPOC 200 7.13600016 -1.917364097964047 -0.08515904725898134 3.2092901739924033
6 230092799 56 TESS-SPOC 200 7.13600016 -1.9198922065237225 0.003415865883031008 2.8414869826230063
6 230092799 59 TESS-SPOC 200 7.13600016 -1.7445466146642663 -0.17371091515094075 2.6833534514684607
7 1219998 05 SPOC 120 9.38539982 -2.348143137839595 -0.0829365887471324 2.160127703428526
7 1219998 05 TESS-SPOC 1800 9.38539982 -2.4888513104397285 -0.19449758899598057 1.7368522294382065
8 114858879 02 SPOC 120 5.19049978 -1.527749047115633 -0.13482221950018422 2.590299220114144
8 114858879 69 SPOC 120 5.19049978 -1.6193629805321634 0.5422624188026572 2.9556106306631356
8 114858879 02 TESS-SPOC 1800 5.19049978 -1.9050474525910785 -0.8590697269451826 1.9727480717702592
8 114858879 69 TESS-SPOC 200 5.19049978 -1.5020812172172273 0.3639134461976416 2.6926573870965402
9 24350903 42 SPOC 120 2.4698 -1.8033169395903181 -0.38200472801079227 3.0180792400568244
9 24350903 55 SPOC 120 2.4698 -1.7364919921107425 -0.1792408539037548 3.0312140584692093
9 24350903 82 SPOC 120 2.4698 -1.1593898279634665 0.5994138966308141 2.7374839411335614
9 24350903 42 TESS-SPOC 600 2.4698 -1.968656787211091 0.837246078524889 2.5887236133047513
9 24350903 55 TESS-SPOC 600 2.4698 -1.9048553207761094 -0.4626836048241753 2.698561583799069
10 147795605 60 TESS-SPOC 200 7.70230007 -1.8731678695279987 -0.01664426927943312 2.7818776528344267
11 293340820 42 SPOC 120 2.25740004 -1.6899799988874293 -0.6525972468626846 3.538565636829344
11 293340820 70 SPOC 120 2.25740004 -1.7541330070776415 -0.3417478317293411 3.1048339427449063
11 293340820 42 TESS-SPOC 600 2.25740004 -2.0048904628599917 -1.573674475321895 2.581488350973248
11 293340820 70 TESS-SPOC 200 2.25740004 -1.8138447002823295 -0.06661214066202338 2.7087990858664686
12 58872758 70 TESS-SPOC 200 6.60710001 -1.8306291815588753 0.0506966782334866 2.844719636253882
13 310965017 14 SPOC 120 3.85619998 -1.7885555725599958 -0.25875541917742184 3.149248454494911
13 310965017 21 SPOC 120 3.85619998 -1.955036191307929 -0.1452245514484616 2.731061512499534
13 310965017 47 SPOC 120 3.85619998 -1.7617399245958976 -0.5019272157058625 3.0065244296056197
13 310965017 41 SPOC 120 3.85619998 -1.7824700765111485 -0.27365922220959915 2.887001391581381
13 310965017 75 SPOC 120 3.85619998 -1.250952842689546 0.15003756020626816 2.9048107415343045
13 310965017 74 SPOC 120 3.85619998 -1.8051770690254325 -0.1393990279708625 2.9736019488845487
13 310965017 14 TESS-SPOC 1800 3.85619998 -0.21337613838228733 0.30631820099404694 1.7193263712727076
13 310965017 21 TESS-SPOC 1800 3.85619998 -0.26060412581638875 -20.692224921880705 2.423631037910879
13 310965017 41 TESS-SPOC 600 3.85619998 -1.9079615853274008 -0.43713424766077574 2.6885926611121187
13 310965017 47 TESS-SPOC 600 3.85619998 -1.9353811266346905 -0.5035417360239055 2.690865390509149
15 71032449 09 SPOC 120 4.68730021 -1.741673804703807 -0.1571240166902114 2.7684544734455825
15 71032449 36 SPOC 120 4.68730021 -1.768124077685805 -0.29675210518069134 3.0326632336786523
15 71032449 09 TESS-SPOC 1800 4.68730021 -2.00701377092754 -0.3116171286935149 1.9131594282681814
15 71032449 36 TESS-SPOC 600 4.68730021 -1.8747479194725927 0.1349564625469389 2.4423798838404616
16 139121623 01 SPOC 120 3.96799994 -1.8699899238414146 0.3966454041549972 3.0383300134102407
16 139121623 27 SPOC 120 3.96799994 -1.6445998898102614 -0.005987138825648345 2.615876604311277
16 139121623 28 SPOC 120 3.96799994 -1.7011462774943902 0.5615059106242248 2.670349472235161
16 139121623 68 SPOC 120 3.96799994 -1.7151557490222404 -0.21628458642974838 3.038399730705515
16 139121623 01 TESS-SPOC 1800 3.96799994 -0.8220228474213092 -5.003620649074782 2.41499860835545
16 139121623 27 TESS-SPOC 600 3.96799994 -1.8427866597231666 -0.07889925399686931 2.348387323947884
16 139121623 28 TESS-SPOC 600 3.96799994 -1.2468228501809053 1.373644115103889 2.6468256226563147
16 139121623 68 TESS-SPOC 200 3.96799994 -1.8156134423158161 -0.024526687892092332 2.6155856702372358
17 91104738 56 SPOC 120 5.56802988 -1.8665447609262542 -0.5434539547032797 3.3523555941158167
17 91104738 83 SPOC 120 5.56802988 -1.8465199391495266 -0.41558905493244386 3.2656911873935384
17 91104738 56 TESS-SPOC 200 5.56802988 -1.8944336378573856 -0.5364350570207854 3.002404484647326
19 16880539 57 SPOC 120 5.30579996 -1.5402685755510759 0.11480542806845045 2.635297951086969
19 16880539 84 SPOC 120 5.30579996 -1.8187804746655876 0.42026436993746613 2.2213760809264587
19 16880539 57 TESS-SPOC 200 5.30579996 -1.6963877308395876 -0.02545368240357386 2.4929196711470842
25 49907986 04 TESS-SPOC 1800 10.8373003 -0.08086640955274779 0.7404492930698305 2.2812563350211588
25 49907986 31 TESS-SPOC 600 10.8373003 -0.10404892262131471 0.023226923460732768 2.226566705197018
26 267942318 17 SPOC 120 6.78989983 -1.6240949631956287 -0.2831058904113851 3.1593657534132444
26 267942318 17 TESS-SPOC 1800 6.78989983 -1.5523316145320656 -0.17339233026108683 2.036309430379521
26 267942318 57 TESS-SPOC 200 6.78989983 -1.8221084041469922 -0.21681723895857732 2.7729452264263115
27 431603831 57 TESS-SPOC 200 9.59060001 -2.1794037607490213 -0.17265668890966945 2.362897024077376
29 207205231 04 SPOC 120 3.48300004 -1.6487434499839089 0.08680781797505371 2.9500954654158695
29 207205231 02 SPOC 120 3.48300004 -1.7962997072172695 -0.3224965456002704 3.098683876588909
29 207205231 03 SPOC 120 3.48300004 -1.6199697138727578 -0.15890363593666032 3.213951216605459
29 207205231 29 SPOC 120 3.48300004 -1.7843752111893336 -0.25539927211393726 2.7637267801670706
29 207205231 30 SPOC 120 3.48300004 -1.9564914666158313 -0.14750313353229627 2.5338854560538584
29 207205231 69 SPOC 120 3.48300004 -1.7712152431794332 -0.5307506602229243 3.2366472870805287
29 207205231 04 TESS-SPOC 1800 3.48300004 -1.6775546655655733 -1.0239258317883946 2.000087830783456
29 207205231 02 TESS-SPOC 1800 3.48300004 -1.683829052973006 -1.2379750591815624 2.3840324545684703
29 207205231 03 TESS-SPOC 1800 3.48300004 -1.6889259697281245 0.0787505474700575 2.3209638970572386
29 207205231 30 TESS-SPOC 600 3.48300004 -1.6648196257388201 -1.2286039024037991 2.61177531098807
29 207205231 29 TESS-SPOC 600 3.48300004 -1.902269736730846 -0.4001464837380552 2.6179138564135376
29 207205231 69 TESS-SPOC 200 3.48300004 -1.6797464780801625 -0.21877834148224948 2.9238819273804237
31 296974016 63 TESS-SPOC 200 7.92959023 -2.1011357558785 -0.055899658063236685 2.2402207849841074
34 388201470 01 SPOC 120 6.6795001 -1.7218350658160793 -0.07851091341761385 3.0199710872558936
34 388201470 13 SPOC 120 6.6795001 -0.8057951284666915 0.6540235691154409 2.7964907153874745
34 388201470 12 SPOC 120 6.6795001 -1.1742518152225492 -0.21118311475953802 2.7957344489364653
34 388201470 01 TESS-SPOC 1800 6.6795001 -1.8829163232877995 -0.7788612668768957 1.9663224529452712
34 388201470 13 TESS-SPOC 1800 6.6795001 -1.3697732576844615 -0.16848650305144713 2.165301232180449
34 388201470 12 TESS-SPOC 1800 6.6795001 -1.3761933343995156 -0.5318550609141913 2.017376506723175
34 388201470 67 TESS-SPOC 200 6.6795001 -1.796749516612695 -0.13516983956249268 2.174125906621827
34 388201470 66 TESS-SPOC 200 6.6795001 -1.8599554442220203 -0.13672331037057808 2.9850629025475652
34 388201470 65 TESS-SPOC 200 6.6795001 -1.5570209461800628 0.4744190146732 2.9351634855526485
34 388201470 68 TESS-SPOC 200 6.6795001 -1.5334024661521355 0.3721056996376036 2.7017883590609624
35 95749776 08 SPOC 120 4.17104006 -1.7155263758367072 -0.18002566800065256 2.3037138141885096
35 95749776 34 SPOC 120 4.17104006 -1.247317681262833 0.022024570448835004 2.751779566566281
35 95749776 61 SPOC 120 4.17104006 -1.5962557644589603 0.07557302712519841 2.877533234138933
35 95749776 88 SPOC 120 4.17104006 -1.7661437437257943 -0.24174844970780052 2.717241321567685
35 95749776 08 TESS-SPOC 1800 4.17104006 -1.9174813087648348 -0.2407365229629933 2.1149777699536587
35 95749776 34 TESS-SPOC 600 4.17104006 -1.7418747215359949 -0.04578799508941755 2.1706287849191566
35 95749776 61 TESS-SPOC 200 4.17104006 -1.5263560826181917 0.12933694332826337 2.7315625274432986
36 397059905 46 SPOC 120 3.62671995 -1.1678085932419928 -0.05501655282141095 2.9858970710985187
36 397059905 46 TESS-SPOC 600 3.62671995 -1.144045740679442 -0.4552534571402427 2.4859455152658314
38 264413925 71 TESS-SPOC 200 7.52750015 -1.4579849070301556 -0.08382459288716577 2.985423567993937
38 264413925 72 TESS-SPOC 200 7.52750015 -1.5021312083324594 0.024700562984006035 2.5578525801722005
39 310965252 20 SPOC 120 4.87960005 -0.5612188785247273 0.2127300991234431 2.7640610670951857
39 310965252 14 SPOC 120 4.87960005 -1.3285377450706455 -0.3483036032107697 3.2110202955056977
39 310965252 21 SPOC 120 4.87960005 -1.8284773022841658 -0.44103789762960033 2.541365295668595
39 310965252 47 SPOC 120 4.87960005 -1.8097291764909014 -0.5595932561234568 3.024571436828611
39 310965252 41 SPOC 120 4.87960005 -1.1949546681997418 0.614111915381782 2.7429505069727598
39 310965252 40 SPOC 120 4.87960005 -1.7161804938783678 -0.33004908416355977 3.1411842595735737
39 310965252 48 SPOC 120 4.87960005 -1.5633643353987252 0.018523986416282976 2.6423745058482537
39 310965252 75 SPOC 120 4.87960005 -1.253046980191549 0.1461538184894058 2.6710506838309334
39 310965252 74 SPOC 120 4.87960005 -1.670347671813589 -0.12563101653768685 2.5513518436648015
39 310965252 14 TESS-SPOC 1800 4.87960005 -0.2184094784145051 0.29601702161605914 1.7193257448625723
39 310965252 20 TESS-SPOC 1800 4.87960005 -0.7829756884948993 -7.145417118448822 2.4004879226577733
39 310965252 21 TESS-SPOC 1800 4.87960005 -0.4029638470571251 -18.14845696916462 2.4209712720200027
39 310965252 40 TESS-SPOC 600 4.87960005 -1.9139003779210095 -0.5272762666491593 2.7006510672936654
39 310965252 41 TESS-SPOC 600 4.87960005 -1.4784715271624498 -0.15899998963910164 2.688592101221829
39 310965252 47 TESS-SPOC 600 4.87960005 -1.6817804121218864 -0.33545215870718875 2.6709359882092416
39 310965252 48 TESS-SPOC 600 4.87960005 -1.1765066904228678 -8.31022452124483 2.8792494220321636
42 136887637 05 SPOC 120 4.32999992 -1.5482139230941474 -0.07121814692679027 2.9499287653902084
42 136887637 31 SPOC 120 4.32999992 -1.4605490115515993 0.15744831450625937 2.57196048711304
42 136887637 05 TESS-SPOC 1800 4.32999992 -1.5522012414284747 -1.112649508879973 2.3740223888212464
42 136887637 31 TESS-SPOC 600 4.32999992 -2.3300177691176533 -0.9627909733579407 1.7375414186262652
43 9378824 22 SPOC 120 3.2841301 -2.6357503932664503 -0.17076971630239735 2.266719615464577
43 9378824 48 SPOC 120 3.2841301 -1.4532193150324624 0.09024765689935847 2.8821953426505407
43 9378824 22 TESS-SPOC 1800 3.2841301 -1.6662819460603417 -0.4816870113227365 1.4948954396274328
43 9378824 48 TESS-SPOC 600 3.2841301 -0.6215301598576307 -1.037034511101847 2.7510095149562375
48 319359575 46 SPOC 120 2.78390002 -1.8114661945521315 -0.2429112649913703 2.842359428723671
48 319359575 46 TESS-SPOC 600 2.78390002 -1.9100837851973769 -0.4978982507858869 2.6903291599726997
49 94748223 71 SPOC 20 6.22539997 -1.2299797437292281 -0.11427234296935314 3.3805833721881093
49 94748223 72 SPOC 20 6.22539997 -1.2705867480418604 -0.07069488622267464 3.38930511628897
49 94748223 71 SPOC 120 6.22539997 -1.209668264990939 -0.23054736228093892 2.923337264706879
49 94748223 72 SPOC 120 6.22539997 -1.3464385727978587 -0.43835724359448675 2.9537989907093603
49 94748223 71 TESS-SPOC 200 6.22539997 -1.651982300765542 -0.2563349109030878 2.674264554456853
49 94748223 72 TESS-SPOC 200 6.22539997 -1.2580803120358555 0.43161595445851 2.976954254003254
51 392486056 19 SPOC 120 2.87968993 -1.7245401666466675 -0.2835096088248431 2.9712755621532487
51 392486056 59 SPOC 120 2.87968993 -1.9227204728902134 -0.24194959633605362 2.7704263331969834
51 392486056 86 SPOC 120 2.87968993 -1.8994742846431403 -0.15460986410957073 2.648199893851263
51 392486056 19 TESS-SPOC 1800 2.87968993 -1.644093716891282 -0.7815999070401412 2.0089972226539325
51 392486056 59 TESS-SPOC 200 2.87968993 -1.7240831263709677 -0.6238458321535051 3.1030019041627677
92 328936362 60 TESS-SPOC 200 12.32159996 -0.8475214397542306 0.18246301511503424 2.5541745358927193
92 328936362 59 TESS-SPOC 200 12.32159996 -1.8310402410266986 0.028675167201130728 2.5823304565567793
100 257439320 56 TESS-SPOC 200 11.9222002 -1.432975346573351 -0.05257684125636625 2.1263295342995794
