Name TIC_ID Sector Author Exptime Magnitude Slope Slope2 Breakpoint
89_Her 285139576 26 SPOC 120 5.07849979 -1.7469780420254868 -0.22356524631494892 2.2356018906994706
89_Her 285139576 40 SPOC 120 5.07849979 -1.825861056598538 -0.1326572863533126 2.766289163046606
89_Her 285139576 53 SPOC 120 5.07849979 -1.2167417362451303 -0.6594377227062419 3.2962500488041933
89_Her 285139576 52 SPOC 120 5.07849979 -1.8207289935331528 -0.27033626875753575 2.8424768249315036
89_Her 285139576 80 SPOC 120 5.07849979 -1.8802971026841808 -0.3559174688848886 3.0512139296763214
89_Her 285139576 79 SPOC 120 5.07849979 -1.9261643497055985 -0.07922591630629448 2.6600090574226463
89_Her 285139576 26 TESS-SPOC 1800 5.07849979 -2.9541770298452974 -0.8634423427233705 1.8982428262838464
89_Her 285139576 40 TESS-SPOC 600 5.07849979 -1.9515704030363041 -0.18899908430063717 2.2392694981758443
89_Her 285139576 52 TESS-SPOC 600 5.07849979 -1.9188672017412123 -0.5072039841286368 2.561706762903692
89_Her 285139576 53 TESS-SPOC 600 5.07849979 -1.838668762344225 -0.5549516457134088 2.3819426624714897
BD+46_442 327790652 58 TESS-SPOC 200 8.89369965 -1.5795559838354618 -0.02028139187724324 2.6302230431884337
DY_Ori 151405646 71 TESS-SPOC 200 9.84840012 -1.7825138701786853 -0.37094028293433545 2.9207757968563532
DY_Ori 151405646 72 TESS-SPOC 200 9.84840012 -1.9129049609169857 -0.5782262856891359 3.093734015911037
HD_46703 149984609 60 TESS-SPOC 200 8.43229961 -1.8233042969727895 -0.21522000282979425 3.0003183768161947
HD_52961 425148238 71 TESS-SPOC 200 6.83120012 -1.8867131986298238 -0.12470871998662814 2.843152347465457
HD_52961 425148238 72 TESS-SPOC 200 6.83120012 -1.8566724565652328 0.24857104320906642 2.807145618278033
HD_95767 466257017 63 TESS-SPOC 200 8.03409958 -1.205541737582742 0.15152900081690412 2.6695652257529527
HD_95767 466257017 64 TESS-SPOC 200 8.03409958 -1.0413467360819617 0.6828898325317427 2.491716056901199
HD_108015 72069886 64 TESS-SPOC 200 7.51669979 -1.5305177903288298 -0.24311047008121314 2.14062339628807
HD_131356 259921603 65 TESS-SPOC 200 8.00160027 -1.5858681902395961 -0.19573950760698683 2.6877372326593045
HD_213985 188569689 69 TESS-SPOC 200 8.72539997 -1.603893285094078 -0.024318445965012144 2.8939448518458066
HR_4049 168346285 09 SPOC 120 5.14949989 -1.7288250104781837 -0.16002890745167217 2.973245841925107
HR_4049 168346285 36 SPOC 120 5.14949989 -1.4885943573596265 -0.07243151163354308 2.6930318815902585
HR_4049 168346285 63 SPOC 120 5.14949989 -2.03829803224945 -0.06532536391214948 2.146252814405433
HR_4049 168346285 62 SPOC 120 5.14949989 -1.6891165563158337 -0.05378764263921043 2.8703111294675323
HR_4049 168346285 89 SPOC 20 5.14949989 -1.7718349583280806 0.044190215206831716 2.56918693582881
HR_4049 168346285 89 SPOC 120 5.14949989 -2.0110773599636906 0.3402865075349086 2.570042776247634
HR_4049 168346285 09 TESS-SPOC 1800 5.14949989 -1.9007025646839752 -0.13200720399611857 2.251956773758593
HR_4049 168346285 36 TESS-SPOC 600 5.14949989 -0.843340384492318 0.09791098741935651 2.5110978601471565
HR_4049 168346285 63 TESS-SPOC 200 5.14949989 -1.517137396332799 0.22434996731636953 2.356630978128419
HR_4049 168346285 62 TESS-SPOC 200 5.14949989 -1.5683643181543703 0.14228667268530343 2.468200089774844
IRAS_06165+3158 138176686 60 TESS-SPOC 200 10.09360027 -1.7900099722378213 -0.10436845367795015 2.4464604490300856
IRAS_06165+3158 138176686 71 TESS-SPOC 200 10.09360027 -1.8442754301586646 -0.1987334445295526 2.4750827627576926
IRAS_06165+3158 138176686 72 TESS-SPOC 200 10.09360027 -1.9558464142346126 -0.39844723898478923 3.0220350271025658
IRAS_08544–4431 30378919 62 TESS-SPOC 200 7.23099995 -1.8242707431393237 -0.03209386762369814 2.8463275623400324
IRAS_15469–5311 278147658 65 TESS-SPOC 200 8.8781004 -1.6561961604827165 -0.18395514573181315 2.477390866736204
IRAS_17038–4815 212985562 66 TESS-SPOC 200 9.3288002 -1.7843817314683936 -0.24733840870080953 2.500288404863467
IRAS_19157–0247 161604472 54 SPOC 120 9.79249954 -2.663643404668482 -0.06578118421190177 2.3613790791907983
IRAS_19157–0247 161604472 54 TESS-SPOC 600 9.79249954 -2.8580933108409683 -0.352860196367057 1.8774259997529954
RU_Cen 258316366 64 TESS-SPOC 200 8.2578001 -1.564636551201833 -0.20100892512051122 2.1406257570723617
SAO_173329 100017389 61 TESS-SPOC 200 10.07019997 -2.0306559842443948 -0.14240427274705736 2.3029080793029277
ST_Pup 148400669 61 TESS-SPOC 200 9.49050045 -2.1712729888889193 0.5880514490934546 2.890482205629171
SX_Cen 15520060 64 TESS-SPOC 200 10.12290001 -1.8296748931488482 -0.30111743777938116 2.4605210868905303
TW_Cam 305967956 59 TESS-SPOC 200 8.22049999 -1.9971135297796725 -0.4216287424032221 2.9843408225866304
U_Mon 6423203 07 SPOC 120 5.62400007 -1.9617845888802148 -0.6765690665182903 3.125261391092392
U_Mon 6423203 34 SPOC 120 5.62400007 -1.890836409541238 -0.23017627188676293 2.6288846618869157
U_Mon 6423203 88 SPOC 20 5.62400007 -1.662274834552775 0.03717205297013326 2.772786556043505
U_Mon 6423203 88 SPOC 120 5.62400007 -1.7058787420833528 0.08217442990124206 2.190447999224647
U_Mon 6423203 07 TESS-SPOC 1800 5.62400007 -1.843876552477075 -0.3978108538062229 2.1802356104722342
U_Mon 6423203 34 TESS-SPOC 600 5.62400007 -1.8812835542298683 -0.43972578628833214 2.5791403123884904
