Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
2	328668612	59	TESS-SPOC	200	6.54879999	1011.9241333007812	0.0763030020920188	0.0	11.120893394967156	-1.4089335144310868	2.1194769491519687	6.583313026285164	Aisladas	2	1	1	-999.0	-999.0	0	4.537580368681993	9.617296996345976	6.825940967292089	-2.09677152	-9.51426929	0.98526847
2	328668612	60	TESS-SPOC	200	6.54879999	205.2044219970703	0.083697818208653	0.0	10.115117980105373	-1.3551149342891171	2.1746945217663205	5.309707396077429	Aisladas	2	1	1	-999.0	-999.0	0	4.805410584027944	10.450300071923465	7.711744448750842	-2.15755476	-10.36793649	0.98537153
3	336728909	57	TESS-SPOC	200	10.1906004	3357.810791015625	0.0486885901910085	0.0	9.66348402477286	-1.3900408894643836	2.257809913976722	6.773731273112389	Aisladas	2	0	1	-10.162025	0.7726504	1	2.8897527516604704	6.524512411640522	4.6937557456706	-2.10140438	-6.07253908	0.99900019
4	13939217	57	TESS-SPOC	200	7.41699982	446.2785339355469	0.4172910695106754	0.0	8.403375629589105	-1.372458682506168	2.762197310708128	4.986390617779493	Aisladas	2	0	1	-8.041526	-3.7291563	1	3.4169850118096114	9.438386810350488	6.876991584996637	-2.65619991	-9.07619528	0.99887371
5	386610785	9	SPOC	120	2.81458998	2373.70458984375	0.1266739807390042	0.0	10.051771631810784	-1.5765432186512265	2.1530405378950195	5.243674077851315	Aisladas	2	0	1	-999.0	-999.0	0	4.80809755395947	10.352028943828625	6.566283005349549	-2.13612365	-10.27069089	0.99921018
5	386610785	35	SPOC	120	2.81458998	450.1775207519531	0.1117859836458634	0.0	8.158428241401909	-1.5970788898051786	1.5491425886080186	3.225735406960256	Aisladas	2	2	1	-999.0	-999.0	0	4.932692834441653	7.641444546355166	4.784638125977181	-1.53859165	-7.58940002	0.99906749
5	386610785	62	SPOC	120	2.81458998	71.84093475341797	0.1790712787988854	0.0	6.274691529222231	-1.488658298713189	1.7180800984007176	3.3654114880781085	Aisladas	2	1	1	-999.0	-999.0	0	2.909280041144122	4.998376139364138	3.3576383134294714	-1.60161631	-4.65955036	0.99923915
5	386610785	89	SPOC	120	2.81458998	220.24534606933597	0.0713258007688222	0.0	9.89192400625902	-1.4945384055718145	2.3085052607928027	6.382043188129281	Aisladas	2	1	1	-999.0	-999.0	0	3.509880818129738	8.102578333408246	5.421458761582095	-2.22874524	-7.82263018	0.99929911
5	386610785	9	TESS-SPOC	1800	2.81458998	1131.12548828125	0.0754592180034727	1.90371699197757e-56	9.116228804574677	-1.283901942519557	2.2752022663351217	5.209749390975166	Aisladas	2	1	1	-999.0	-999.0	0	3.9064794135995102	8.888030815213103	6.922671055213951	-2.22508657	-8.69225489	0.9991852
5	386610785	35	TESS-SPOC	600	2.81458998	1540.9200439453125	0.0787321231643117	1.3596683922957656e-207	9.629730107194014	-1.4150890345077054	2.15891417966524	6.39754981184325	Aisladas	2	1	1	-999.0	-999.0	0	3.232180295350764	6.977999870867347	4.931138395327132	-2.05689918	-6.64826899	0.99902809
