Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
TYC_8170-690-1	75311623	9	SPOC	120	10.40950012	1466.1123046875	0.1908570444900117	0.0	8.752102483405528	-1.4401523802623688	2.601802238640954	6.074474508850577	VC1	3.75	0	1	-999.0	-999.0	0	2.6776279745549507	6.966658458444714	4.837445366146268	-2.37398222	-6.35664121	0.88280624
TYC_8170-690-1	75311623	8	SPOC	120	10.40950012	1378.0037841796875	0.1943003643698973	0.0	8.824196192849762	-1.384680129951009	2.425483620033817	6.0464485200422455	VC1	3.75	0	1	-999.0	-999.0	0	2.777747672807516	6.737381480981685	4.865659104402732	-2.23527894	-6.20904088	0.88556814
TYC_8170-690-1	75311623	9	TESS-SPOC	1800	10.40950012	1023.2296752929688	0.1898546429922087	0.0	7.81701022058033	-1.3519852507950294	2.729384879048822	5.095605610670496	VC1	3.75	0	1	-999.0	-999.0	0	2.7214046099098343	7.42776059206166	5.493965697993966	-2.50162803	-6.80794205	0.86379021
TYC_8170-690-1	75311623	8	TESS-SPOC	1800	10.40950012	674.6821899414062	0.1951519765221998	8.94017999838867e-249	8.009342968529213	-1.3351386447862816	2.699957942447958	5.225871878938802	VC1	3.75	0	1	-999.0	-999.0	0	2.7834710895904102	7.515254875913899	5.628819827259873	-2.48956336	-6.92962765	0.86556494
TYC_8170-690-1	75311623	63	TESS-SPOC	200	10.40950012	1106.2689208984375	0.1941387564759576	0.0	8.004816071699912	-1.586270857846753	2.391977399397053	5.852591789641202	VC1	3.75	0	0	-999.0	-999.0	0	2.15222428205871	5.148071841117982	3.245392686660155	-2.02277059	-4.35345597	0.87050146
TYC_8170-690-1	75311623	62	TESS-SPOC	200	10.40950012	1175.4915771484375	0.1874699177243576	0.0	8.825507527798207	-1.4118550548104918	2.377363704822833	5.829351643309208	VC1	3.75	0	1	-999.0	-999.0	0	2.9961558844889997	7.122952253775499	5.0451016409270055	-2.23105995	-6.68460338	0.86486298
HD_15629	49720925	18	SPOC	120	7.99639988	1856.5474853515625	0.6890717129751222	1.448316927201461e-249	8.6710641853534	-2.1680930213687613	2.711393030031657	5.361173111209028	VC1	3.75	0	1	-999.0	-999.0	0	3.309891074144372	8.974415588599044	4.139312981568159	-2.59399382	-8.585837	0.98360473
HD_15629	49720925	18	TESS-SPOC	1800	7.99639988	2175.285888671875	0.1003551566334356	1.9410046870636078e-15	7.590449022158232	-2.065871403602937	2.3846095046066083	6.253444236029217e-12	VC1	3.75	0	1	-999.0	-999.0	0	7.590449022151978	18.100256882455543	8.761560303747945	-2.3838454	-18.09445698	0.97806704
HD_15629	49720925	58	TESS-SPOC	200	7.99639988	1867.2291259765625	0.3463759527868696	1.0927520794348097e-107	8.351791080162618	-2.2661818248030574	3.0044283142821464	4.770069122334068	VC1	3.75	0	1	-999.0	-999.0	0	3.58172195782855	10.76102686398618	4.748527565709062	-2.90873057	-10.41826416	0.97970361
LS_II_+25_15	435781776	14	SPOC	120	10.59770012	2920.114501953125	1.4748645168949972	0.0	8.562842090941137	-2.228551020811545	4.673279598896063	6.262433693294267	VC1	3.75	0	1	-999.0	-999.0	0	2.30040839764687	10.7504516338523	4.82396477956221	-4.05705092	-9.332874	0.95954728
