Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
HD_237204	72696935	19	SPOC	120	8.89109993	8721.2548828125	1.2947075916482085	2.0644959191662382e-27	8.14042028200933	-2.83227073249316	4.885860726432181	6.030784939058592	VC3	4.25	0	0	-3.6989001	-5.7942965	1	2.109635342950739	10.3073844692163	3.6392652548942697	-4.09713998	-8.6434713	0.98866063
HD_237204	72696935	59	SPOC	120	8.89109993	8755.35546875	1.299625764441164	1.0021519674007921e-20	7.858160524806212	-2.8772216611711645	4.999999999999991	5.337101985116032	VC3	4.25	0	0	-3.6989001	-5.7942965	1	2.521058539690181	12.60529269845088	4.381064159415487	-4.48042829	-11.29542201	0.98698068
HD_237204	72696935	86	SPOC	120	8.89109993	8752.552734375	1.3024583125781213	8.542854536757829e-22	8.22945012699852	-2.877526991058473	4.999999999999998	6.091445640671302	VC3	4.25	0	0	-3.6989001	-5.7942965	1	2.138004486327218	10.690022431636086	3.715003356998523	-4.21658285	-9.01507305	0.98946339
HD_237204	72696935	19	TESS-SPOC	1800	8.89109993	8847.1279296875	1.296935533771294	1.0	7.079835419864941	-2.641287784680437	1.6943520992886665	1.6566635440174924e-20	VC3	4.25	0	0	-3.6989001	-5.7942965	1	7.079835419864941	11.99573400626642	4.541623247509076	-1.69337488	-11.98881548	0.97721606
HD_237204	72696935	59	TESS-SPOC	200	8.89109993	9121.484375	1.3027004351010243	3.0727427360746384e-08	7.594182560312469	-2.893432384697026	4.999999999999895	5.167432826269166	VC3	4.25	0	0	-3.6989001	-5.7942965	1	2.4267497340433035	12.133748670216264	4.193548373340267	-4.42446653	-10.73707297	0.97596657
HD_213405	337886863	18	SPOC	120	7.55359983	5230.26318359375	0.3530920601151571	0.0	10.646004155632976	-1.4833100900485816	2.223284660831504	5.88631873387977	VC3	4.25	0	1	-4.9764002	-6.090634	1	4.759685421753207	10.582135588567231	7.1341357815617945	-2.20481873	-10.49424355	0.97775602
HD_213405	337886863	17	SPOC	120	7.55359983	5136.8056640625	0.3519432894987779	0.0	10.51873413788601	-1.7184782338207094	2.807492719156592	6.227857569336349	VC3	4.25	0	1	-4.9764002	-6.090634	1	4.2908765685496615	12.046604725002796	7.010042075551613	-2.76760829	-11.87546558	0.97245288
HD_213405	337886863	16	SPOC	120	7.55359983	4368.39453125	0.3524613702283782	0.0	10.832654897593628	-1.5746615055572346	3.013936063383464	5.546991611819517	VC3	4.25	0	1	-4.9764002	-6.090634	1	5.285663285774111	15.930651195896528	10.116873461169076	-3.00024794	-15.85830038	0.97728598
HD_213405	337886863	24	SPOC	120	7.55359983	4841.18359375	0.351161858677933	0.0	10.59336900126694	-1.4053204673471902	2.237099484608499	6.234126317406218	VC3	4.25	0	1	-4.9764002	-6.090634	1	4.359242683860724	9.752059561348194	6.939384850600705	-2.20770796	-9.62393477	0.98143351
HD_213405	337886863	58	SPOC	120	7.55359983	4686.34228515625	0.351762259547985	0.0	10.415976308379625	-1.58428064918948	2.3968720652330564	5.112605056806684	VC3	4.25	0	1	-4.9764002	-6.090634	1	5.303371251572939	12.71150240445525	8.023516799853908	-2.38620559	-12.65493415	0.96964639
HD_213405	337886863	57	SPOC	120	7.55359983	4650.29931640625	0.3511841200844825	0.0	10.462669910857429	-1.781445106677062	2.8420320165780466	5.474583252998267	VC3	4.25	0	1	-4.9764002	-6.090634	1	4.98808665785916	14.176301983101515	7.95775403349062	-2.82386752	-14.08569591	0.97981793
HD_213405	337886863	85	SPOC	120	7.55359983	5222.0322265625	0.351138498525392	0.0	10.525228584905507	-1.5972750230246635	2.739561678989606	6.575728989292001	VC3	4.25	0	0	-4.9764002	-6.090634	1	3.9494995956135055	10.819897743327708	6.77397291471992	-2.68210263	-10.59296325	0.97338676
HD_213405	337886863	78	SPOC	120	7.55359983	5489.3837890625	0.3518218736961216	0.0	10.337532774920705	-1.8794523061137405	3.2628205745573924	5.470480974625055	VC3	4.25	0	0	-4.9764002	-6.090634	1	4.867051800295648	15.88031675144124	8.449438541102408	-3.23886002	-15.76369951	0.98189521
HD_213405	337886863	77	SPOC	120	7.55359983	5425.525390625	0.35101078054975	0.0	10.637045177082872	-1.726245479317681	3.0032448257768096	5.770640927679786	VC3	4.25	0	1	-4.9764002	-6.090634	1	4.866404249403086	14.615003382158095	8.466352878117226	-2.98117409	-14.50759824	0.98427391
